q-type	source	full-question	answer	answer-wrong	evidence
tf	cpubmed	硬膜外麻醉的手术治疗包含剖宫产吗？	硬膜外麻醉的手术治疗包含剖宫产	硬膜外麻醉的手术治疗不包含剖宫产。	['(2)分挽方式：HELLP综合征不是剖宫产指征，但可酌情放宽剖宫产指征。(3)麻醉选择：因血小板减少，有局部出血危险，禁忌阴部阻滞和硬膜外麻醉，阴道分挽宜采用局部浸润麻醉，剖宫产采用局部浸润麻醉或全身麻醉。（段涛）', '1.手术治疗手术方式可选择开腹手术及腹腔镜手术。但妊娠期采用腹腔镜手术的安全性仍有争议，有报道指出，妊娠期腹腔镜下阑尾切除术后导致早产率上升。开腹手术麻醉方式宜选择连续硬膜外麻醉或硬膜外联合阻滞麻醉。术中应注意防止孕妇出现仰卧位低血压。妊娠早期可取麦氏切口，若诊断不能肯定时行下腹正中纵切口，有利于术中操作和探查。妊娠中、晚期手术切口应取压痛最明显处。手术时将手术床向左倾斜约30°，使子宫左移，便千暴露阑尾。术中操作应轻柔，尽量避免刺激子宫。妊娠晚期需同时剖宫产时，应选择有利千剖宫产手术的下腹正中纵切口。若腹腔炎症严重而局限，阑尾穿孔，盲肠壁水肿，可放置腹腔引流管。', '由于剖宫产会增加产褥热的风险，一般建议进行剖宫产的产妇在手术前给予预防性的抗生素（像是氨苄青霉素）治疗。若有感染，也是接受抗生素治疗，大部份会在二至三天内改善。症状轻微的会用口服的抗生素，较严重者则会以静脉注射给予抗生素。若是阴道分娩，会用氨苄青霉素及庆大霉素治疗，若是剖宫产则会用克林霉素及庆大霉素治疗。若治疗后病情仍未改善，则需考虑如脓疡之类的并发症。']
tf	medqa	妊娠妇女尿糖阳性，进一步的检查项目是空腹血糖吗？	妊娠妇女尿糖阳性，进一步的检查项目是空腹血糖。	妊娠妇女尿糖阳性，进一步的检查项目不是空腹血糖。	"['(1)尿糖：定性一般阳性。尿糖可间接反映糖尿病患者血糖控制的状况。在用胰岛素治疗过程中，可监测尿糖变化，以判断饮食及胰岛素用量是否恰当。在空腹状态下先排空膀胱，半小时后排尿为＂次尿"",相当于空腹时血糖的参考，从餐后至下次餐前一小时的尿为＂段尿＂，作为餐后血糖水平的参考。所得结果可粗略估计当时的血糖水平，利千胰岛素剂量的调整。', '｛实验室检查］（一）糖代谢异常严重程度或控制程度的检查1.尿糖测定尿糖阳性是诊断糖尿病的重要线索。但尿糖阳性只是提示血糖值超过肾糖阁（约lOmmol/L），因而尿糖阴性不能排除糖尿病可能。并发肾脏病变时，肾糖阁升高，虽然血糖升高，但尿糖阴性。肾糖｜萄降低时，虽然血糖正常，尿糖可阳性。', '1.孕前糖尿病(PGDM)的诊断符合以下2项中任意一项者，可确诊为PGDM。(1)妊娠前已确诊为糖尿病的患者。(2)妊娠前未进行过血糖检查的孕妇，尤其存在糖尿病高危因素者，如肥胖（尤其重度肥胖）、一级亲属患2型糖尿病、GDM史或大于胎龄儿分挽史、多囊卵巢综合征患者及妊娠早期空腹尿糖反复阳性，首次产前检查时应明确是否存在妊娠前糖尿病，达到以下任何一项标准应诊断为PGDM。', '由于糖化血色素可以反应一个人在过去三个月内的平均血糖，而许多早期糖尿病患者及胰岛素抵抗患者的空腹血糖是正常的；因此同时检测糖化血色素及空腹血糖（空腹血糖正常但糖化血色素偏高，代表近期经常出现饭后血糖过高），是比仅检验空腹血糖更灵敏。', '孕妇于妊娠24-28周时，进行75克口服葡萄糖量（口服）试验，分别测量空腹、餐后1小时、2小时血糖浓度，若', '空腹血糖是指在未进食8小时以上的基础胰岛素分泌血糖，可用来诊断糖尿病，空腹血糖在4至5.5\xa0mmol/l（70至99\xa0mg/dl）是正常的，若空腹血糖持续在5.5至7\xa0mmol/l（101–125\xa0mg/dl）有可能是糖尿病前期，需要持续追踪。当空腹血糖超过7\xa0mmol/l（126\xa0mg/dl）表示有罹患糖尿病的风险。']"
open	medqa	子宫颈癌好发部位是什么？	子宫颈癌好发部位是子宫颈外口。	子宫颈癌好发部位是子宫颈管。	['(2)子宫颈：主要由结缔组织构成，含少量平滑肌纤维、血管及弹力纤维。子宫颈管黏膜为单层高柱状上皮，黏膜内腺体分泌碱性黏液，形成黏液栓堵塞子宫颈管。黏液栓成分及性状受性激素影响，发生周期性变化。子宫颈阴道部由复层鳞状上皮覆盖，表面光滑。子宫颈外口柱状上皮与鳞状上皮交接处是子宫颈癌的好发部位。', '·发病与高危型HPV持续感染密切相关，转化区是子宫颈鳞状上皮内病变及子宫颈癌的好发部位。·组织学诊断是确诊和分级的依据。子宫颈锥切术是治疗高级别病变的主要手段。·疫苗接种和筛查是预防子宫颈癌的有效措施。', '2.腺癌近年来子宫颈腺癌的发生率有上升趋势，占子宫颈癌的20%-25%。(1)巨检：来自子宫颈管内，浸润管壁；或自子宫颈管内向子宫颈外口突出生长；常可侵犯宫旁组织；病灶向子宫颈管内生长时，子宫颈外观可正常，但因子宫颈管膨大，形如桶状。', '子宫颈癌（又称宫颈癌），为发生在子宫颈的癌症，源自于不正常细胞的生长，能侵袭或转移至身体其他部位。早期通常不会有症状，而晚期时可能有不正常的、。']
open	medqa	初孕妇，妊娠34周。头晕、头痛伴视物模糊4天，5小时前突然出现剧烈腹痛。查体：贫血貌，血压160/110mmHg，子宫板状硬。最可能的诊断是什么？	最可能的诊断是胎盘早剥。	最可能的诊断是前置胎盘。	['对20~34•6周合并1级胎盘早剥的产妇，尽可能保守治疗延长孕周，孕35周前应用糖皮质激素促进胎肺成熟（具体用法详见第八章第七节”早产”)。注意密切监测胎盘早剥情况，一旦出现明显阴道流血、子宫张力高、凝血功能障碍及胎儿窘迫时应立即终止妊娠。', '1.胎盘早剥常伴有妊娠期高血压疾病史或外伤史，子宫呈板状硬，胎位不清，阴道流血与贫血程度不成正比；超声检查常有胎盘后血肿或胎盘明显增厚，胎儿在子宫内。', '因胰腺位置相对较深以及增大子宫的覆盖，诊断较困难。妊娠早期因消化道症状容易被误诊为妊娠剧吐；妊娠晚期因炎症刺激导致宫缩易被误诊为临产；因腹膜炎导致的压痛、板状腹等体征易被误诊为胎盘早剥。此外，还应与急性胃肠炎、消化性溃疡穿孔、胆翋炎、阑尾炎、肠梗阻等疾病相鉴别。', '双侧子宫均有受孕机会，但受孕常反复发生在同一侧子宫内，偶有双侧子宫异期受孕，两胎儿相差数天，发生率为百万分之一。因供血不足，孕早期易流产，孕可因体晚期易发生妊娠高血压综合征。胎儿宫内发育迟缓、臀位。孕中期妊娠位改变发生子宫扭转，而至胎盘早剥，子宫破裂。']
open	medqa	新生儿轻度窒息，Apgar评分标准为什么？	新生儿轻度窒息，Apgar评分标准为4～7分。	新生儿轻度窒息，Apgar评分标准为0～3分。	['2. Apgar评分评估包Apgar评分千l953年由美国麻醉科医师Apgar博士提出，是国际上公认的评价新生儿窒息的最简捷、实用的方法。内容包括皮肤颜色(appearance)、心率(pulse汃对刺激的反应(grimace)、肌张力(activity)和呼吸(respiration)五项指标；每项0~2分，总共10分（表6-4)。分别于生后1分钟、5分钟和10分钟进行，需复苏的新生儿到15分钟、20分钟时仍需评分。Apgar评分8~l0分为正常，4～7分为轻度窒息，0～3分为重度窒息。1分钟评分反映窒息严重程度，是复苏的依据；5分钟评分反映了复苏的效果及有助于判断预后。', '目前我国新生儿窒息的诊断多根据Apgar评分系统。但国内外多数学者认为，单独的Apgar评分不应作为评估窒息以及神经系统预后的唯一指标，尤其是早产儿、存在其他严重疾病或母亲应用镇静剂时。因此，美国儿科学会(American Academy of Pediatric s, AAP)和妇产科学会(the American College of Obstetricians and Gynecologists, ACOG)1996年共同制定了以下窒息诊断标准：心跻动脉血显示严重代谢性或混合性酸中毒，pH<7. O;®Apgar评分0~3分，并且持续时间＞5分钟；＠新生儿早期有神经系统表现，如惊厥、昏迷或肌张力低下等；＠出生早期有多器官功能不全的证据。2013年中国医师协会新生儿科医师分会制定了新生儿窒息诊断和分度标准建议：O产前具有可能导致窒息的高危因素；®l或5分钟Apgar评分,::::;7分，仍未建立有效自主呼吸；＠跻动脉血pH<7.15;＠排除其他引起低Apgar评分的病因。以上＠～＠为必要条件辽）为参考指标。', '(3)新生儿阿普加评分(Apg釭score)及肪动脉血气pH测定的意义：Apg狙·评分是用千快速评估新生儿出生后一般状况的方法，由5项体征组成，包括心率、呼吸、肌张力、喉反射及皮肤颜色。5项体征中的每一项授予分值0分、1分或2分，然后将5项分值相加，即为Apgar评分的分值（表12-3)。l分钟Apgar评分评估出生时状况，反映宫内的情况，但窒息新生儿不能等1分钟后才开始复苏。5分钟Apgar评分则反映复苏效果，与近期和远期预后关系密切。肪动脉血气代表新生儿在产程中血气变化的结局，提示有无缺氧、酸中毒及其严重程度，反映窒息的病理生理本质，较Apgar评分更为客观、更具有特异性。我国新生儿窒息标准：心5分钟Apgar评分~7，仍未建立有效呼吸；＠跻动脉血气pH<7.15;＠排除其他引起低Apga:i·评分的病因；＠产前具有可能导致窒息的高危因素。以上心～＠为必要条件，＠为参考指标。']
tf	medqa	新生儿疱疹最可能的传播途径是经产道感染吗？	新生儿疱疹最可能的传播途径是经产道感染。	新生儿疱疹最可能的传播途径不是经产道感染。	['主要经性接触传播，间接传播少见。孕妇感染后可发生宫内感染，通过产道感染或出生后感染新生儿，其中经产道感染是最主要的传播途径，垂直传播率为30%~50%。【对胎儿和新生儿影晌】衣原体感染是否与流产、早产、胎膜早破、围产儿死亡等不良妊娠结局相关尚存争议。目前也无证据表明孕妇生殖道感染与绒毛膜羊膜炎和剖宫产后盆腔感染有关。胎儿经污染产道而感染，主要引起新生儿肺炎和眼炎。新生儿血清CT lgM阳性，表明有宫内感染。', '(2)新生儿疤疹：感染途径包括宫内、产道和产后接触感染，其中以产道感染为常见(75%）。如孕妇患有急性期生殖器疤疹，新生儿可经产道感染，引起皮肤、眼和口局部庖疹，重症患儿表现为疤疹性脑膜炎或全身播散性感染。新生儿疮疹病毒全身感染的预后差，病死率达80%，存活者往往伴有永久性神经损伤。孕妇原发感染或潜伏病毒激活，病毒可经胎盘感染胎儿，诱发流产、早产、死胎等。', '生殖器疱疹会在分娩时通过产道传染给新生儿。 假如母亲在怀孕期间感染了病毒， 从受感染产道出生的新生儿有25%的机率脑部会受到损害，1/3的机率死亡。', '新生儿感染（英语：Neonatal infections）是指新生儿在产前发育过程中或出生后的最初4周内获得的感染。新生儿感染可能通过垂直传播（母婴传播）、分娩时在产道中或出生后感染。新生儿感染可能在分娩后不久出现，也可能需要数周才会出现症状。一些新生儿感染，例如艾滋病、乙型肝炎和疟疾，需要到后期症状才会变得明显。新生儿感染的体征和症状可能包括呼吸窘迫、体温不稳、易怒、吞咽障碍、发育迟缓、持续哭闹和皮疹。', '人类单纯疱疹病毒（HSV）包括（HSV-1，HHV-1）与（HSV-2，HHV-2），是疱疹病毒科（Herpesviridae）中的感染人类的两种病毒。HSV-1和-2都是普遍存在且接触传染的。当患者产生和释放病毒时，单纯疱疹病毒就会传播。第一类型单纯疱疹（HSV-1）与口腔周围、眼角膜结膜炎及上半身感染的皮肤炎有关；第二类型单纯疱疹（HSV-2）则与生殖器、新生儿疱疹及下半身感染的皮肤炎有关。']
tf	medqa	新生儿疱疹最可能的传播途径是经产道感染吗？	新生儿疱疹最可能的传播途径是经产道感染。	新生儿疱疹最可能的传播途径不是经产道感染。	['主要经性接触传播，间接传播少见。孕妇感染后可发生宫内感染，通过产道感染或出生后感染新生儿，其中经产道感染是最主要的传播途径，垂直传播率为30%~50%。【对胎儿和新生儿影晌】衣原体感染是否与流产、早产、胎膜早破、围产儿死亡等不良妊娠结局相关尚存争议。目前也无证据表明孕妇生殖道感染与绒毛膜羊膜炎和剖宫产后盆腔感染有关。胎儿经污染产道而感染，主要引起新生儿肺炎和眼炎。新生儿血清CT lgM阳性，表明有宫内感染。', '(2)新生儿疤疹：感染途径包括宫内、产道和产后接触感染，其中以产道感染为常见(75%）。如孕妇患有急性期生殖器疤疹，新生儿可经产道感染，引起皮肤、眼和口局部庖疹，重症患儿表现为疤疹性脑膜炎或全身播散性感染。新生儿疮疹病毒全身感染的预后差，病死率达80%，存活者往往伴有永久性神经损伤。孕妇原发感染或潜伏病毒激活，病毒可经胎盘感染胎儿，诱发流产、早产、死胎等。', '生殖器疱疹会在分娩时通过产道传染给新生儿。 假如母亲在怀孕期间感染了病毒， 从受感染产道出生的新生儿有25%的机率脑部会受到损害，1/3的机率死亡。', '新生儿感染（英语：Neonatal infections）是指新生儿在产前发育过程中或出生后的最初4周内获得的感染。新生儿感染可能通过垂直传播（母婴传播）、分娩时在产道中或出生后感染。新生儿感染可能在分娩后不久出现，也可能需要数周才会出现症状。一些新生儿感染，例如艾滋病、乙型肝炎和疟疾，需要到后期症状才会变得明显。新生儿感染的体征和症状可能包括呼吸窘迫、体温不稳、易怒、吞咽障碍、发育迟缓、持续哭闹和皮疹。', '人类单纯疱疹病毒（HSV）包括（HSV-1，HHV-1）与（HSV-2，HHV-2），是疱疹病毒科（Herpesviridae）中的感染人类的两种病毒。HSV-1和-2都是普遍存在且接触传染的。当患者产生和释放病毒时，单纯疱疹病毒就会传播。第一类型单纯疱疹（HSV-1）与口腔周围、眼角膜结膜炎及上半身感染的皮肤炎有关；第二类型单纯疱疹（HSV-2）则与生殖器、新生儿疱疹及下半身感染的皮肤炎有关。']
tf	medqa	初孕妇，32岁。妊娠39周，规律宫缩8小时，随后持续腹痛，拒按，无间歇期，胎心音不清，宫口开大5cm，胎头S＝－1，后囟位于1点处。该患者最可能的诊断是强直性子宫收缩吗？	该患者最可能的诊断是强直性子宫收缩。	该患者最可能的诊断不是强直性子宫收缩。	['2.不协调性子宫收缩乏力又称高张性子宫收缩乏力(hype11onic uterine inertia)。表现特点为宫缩失去正常的节律性、对称性，尤其是极性，宫缩的兴奋点来自子宫下段一处或多处，节律不协调、高频率的宫缩波自下而上扩散，不能产生向下的合力，致使宫缩时宫底部较子宫下段弱，宫缩间歇期子宫不能很好地松弛，使宫口扩张受限，胎先露不能如期下降，为无效宫缩。产妇可出现持续性腹痛、腹部拒按、烦躁不安，严重时可出现水及电解质紊乱、尿游留、肠胀气、胎盘－胎儿循环障碍及静息宫内压升高，胎心异常。此种宫缩多为原发性宫缩乏力。', '1.宫缩规律第一产程开始时，子宫收缩力弱，持续时间较短约30秒，间歇期较长约5~6分钟C随产程进展，宫缩强度增加，持续时间延长，间歇期缩短。当宫口开全时，宫缩持续时间可长达1分钟，间歇仅l~2分钟。', '子宫收缩力是临产后的主要产力，贯穿于整个分挽过程中。临产后的宫缩能迫使宫颈管消失、宫口扩张、胎先露部下降、胎盘和胎膜挽出。临产后正常宫缩的特点包括：1.节律性子宫节律性收缩是临产的重要标志。每次子宫收缩都是由弱渐强（进行期），维持一定时间（极期），一般30~40秒，随后从强渐弱（退行期），直至消失进入间歇期。间歇期一般为5~6分钟（图12-1)。随产程进展宫缩持续时间逐渐延长，间歇期逐渐缩短。当宫口开全后，宫缩可持续达60秒，间歇期仅l~2分钟。如此反复，直至分挽结束。宫缩极期使宫腔压力于第一产程末可达40-60mmHg，于第二产程期间增至100-150mmHg，而间歇期仅为6-12mmHg。宫缩时，子宫肌壁血管受压，子宫血流量减少，但间歇期子宫血流量又恢复，对胎儿血流灌注有利。']
open	medqa	足月男孩，顺产，出生体重3.2kg，生后20小时开始出现黄疸，微量胆红素测定为221μmol/L。最主要的治疗是什么？	最主要的治疗是光照疗法。	最主要的治疗是禁食母乳。	['图6-11>35周新生儿不同胎龄及不同高危因素的生后小时龄光疗标准（资料来源；Pediatrics,2004,114:297-316)也称为非病理性高胆红素血症(non-pathologic hyperbilirubinemia)。人类初生时胆红素产量大于胆红素排泄量，在我国几乎所有足月新生儿在生后早期都会出现不同程度的暂时性血清胆红素增高。表6-6显示了我国足月新生儿初生第1至第7日血清总胆红素浓度。', '黄疸的治疗方式视胆红素的多少、婴儿的年龄以及造成黄疸的原因而有不同。治疗方式包括增加喂食频率（增加排泄量以排出体内胆红素）、光照治疗或是换血。若是早产儿，需要更积极的治疗方式。生理性黄疸一般不会持续超过一周。婴儿出生的头一周，约有半数会有黄疸症状，早产儿有80%会有黄疸。', '黄疸的成因众多，有些不严重，有些则可能致命，正常人体血液中的胆红素浓度会在 1.0 mg/dL（17 µmol/L），一般黄疸患者的胆红素浓度则超过2–3 mg/dL（34-51 µmol/L）。高胆红素可分为两种：非结合性（unconjugated）胆红素过高及结合性（conjugated）胆红素过高，若是结合性胆红素过高，会在尿液中检验出胆红素。', '患有新生儿黄疸的婴儿可以用称为光照治疗的有色光治疗，其原理是将反式胆红素改变为水溶性顺式胆红素异构体。']
