q-type	source	full-question	answer	answer-wrong	evidence
open	medqa	男，40岁。发现血尿、蛋白尿5年。查体：BP 150／90mmHg，双下肢轻度凹陷性水肿。实验室检查：尿蛋白1.0～1.7g/d，尿RBC 5～15/HP，Scr 100μmol/L。B超示双肾大小正常。其治疗的最终目标是什么？	其治疗的最终目标是延缓肾脏病进展。	其治疗的最终目标是消除尿蛋白。	['［临床表现和实验室检查］慢性肾炎可发生于任何年龄，但以中青年为主，男性多见。多数起病缓慢、隐匿。早期病人可无特殊症状，病人可有乏力、疲倦、腰部疼痛和食欲缺乏；水肿可有可无，一般不严重。实验室检查多为轻度尿异常，尿蛋白常在1～3g/d，尿沉渣镜检红细胞可增多，可见管型。尿相差显微镜尿红细胞形态检查和（或）尿红细胞容积分布曲线测定可判定血尿性质为肾小球源性血尿。', '尿液分析可有镜下血尿和（或）蛋白尿（尿蛋白＞0.5g/24h，但通常＜2. Og/24h，以白蛋白为主）；相差显微镜尿红细胞形态检查和（或）尿红细胞容积分布曲线测定可判定血尿性质为肾小球源性血尿。免疫学检查抗核抗体、抗双链DNA抗体、免疫球蛋白、补体等均正常。部分lgA肾病病人可有血lgA水平的升高；肾功能及影像学检查如B超、静脉肾孟造影、CT或MRI等常无异常发现。', '有全身性水肿时应检查尿内是否有蛋白、红细胞及管型等。如无蛋白尿很可能水肿不是由心脏或肾脏病引起。心力衰竭患者常有轻度或中度蛋白尿，而持久性重度蛋白尿为肾病综合征的特征。持久性蛋白尿，尿中红细胞与管型增多，伴有肾功能明显减退者常提示水肿为肾脏病所致；心力衰竭患者虽亦可有上述表现，但尿检查和肾功能的改变在程度上一般都比较轻。与水肿有关的肾功能试验，常选用酚磺酞亦称酚红试验、尿浓缩和稀释试验、尿素廓清试验等，可检测肾脏的排泄功能。']
open	medqa	维持阴道微生态平衡最重要的菌群是什么？	维持阴道微生态平衡最重要的菌群是乳杆菌。	维持阴道微生态平衡最重要的菌群是加德纳菌。	"['1.阴道微生态平衡及影响因素正常阴道内虽有多种微生物存在，但这些微生物与宿主阴道之间相互依赖、相互制约，达到动态的生态平衡，并不致病。在维待阴道微生态平衡的因素中，雌激素、局部pH、乳杆菌以及阴道黏膜免疫系统起重要作用。雌激素可使阴道鳞状上皮增厚，并增加糖原含量，后者可在乳杆菌的作用下转化为乳酸，维持阴道正常的酸性环境(pH~4.5，多在3.8-4.4)。此外，雌激素还可维持阴道黏膜免疫功能，尤其是T细胞功能。阴道的酸性环境可以抑制其他病原体生长，而利于阴道乳杆菌的生长。正常情况下，阴道微生物群中以产H202的乳杆菌为优势菌，乳杆菌除维持阴道的酸性环境外，还可分泌H202、细菌素及其他抗微生物因子抑制或杀灭致病微生物，同时通过竞争排斥机制阻止致病微生物黏附于阴道上皮细胞，维持阴道微生态平衡。阴道黏膜免疫系统除具有黏膜屏障作用外，免疫细胞及其分泌的细胞因子还可发挥免疫调节作用，具有免疫功能的主要细胞类型是上皮细胞、间质成纤维细胞和淋巴细胞；阴道分泌物中的黏液包含多种免疫调节分子，包括细胞因子、化学因子、抗菌蛋白酶等，在防御阴道感染中起主要作用。', '·雌激素、局部pH、乳杆菌以及阴道黏膜免疫系统在维持阴道微生态平衡中起重要作用。·阴道微生态评价系统包括形态学栓测和功能学梒测两部分，以形态学栓测为主。', '正常阴道菌群以乳杆菌占优势。若产生H202的乳杆菌减少，阴道pH升高，阴道微生态失衡，其他微生物大量繁殖，主要有加德纳菌、还有其他厌氧菌，如动弯杆菌、普雷沃菌、紫单胞菌、类杆菌、消化链球菌等，以及人型支原体感染，导致细菌性阴道病。促使阴道菌群发生变化的原因仍不清楚，可能与频繁性交、反复阴道灌洗等因素有关。', '细菌性阴道病和阴道中出现及有关，也和构成健康阴道微生物群的乳杆菌种类减少有关。', '阴道的乳杆菌产生的抑制物质（包括有机酸、抗菌素及过氧化氢）是保护阴道菌群的主要因素。这些物质协同作用以保护致病菌的感染。不是所有""Lactobacillus""菌属的都有这三种抗菌机制，也不是所有的Lactobacillus菌株都有这三种抗菌机制。绝经前妇女的""Lactobacillus""菌种会有所不同，例如卷曲乳杆菌（""L. crispatus""）、詹氏乳杆菌（""L. jensenii""）、惰性乳杆菌（""L. iners""）及加氏乳杆菌（""L. gasseri""），也可能有阴道乳杆菌（""L. vaginalis""），其评估技术有些和细菌培养有关，也有些是和细菌培养无关的技术。', '总结来说，乳杆菌分泌的H2O2曾被认为是阴道内重要的抗菌成份，这似乎和会分泌H2O2的乳杆菌及正常阴道菌群有关，不过现今的资料无法支持H2O2在阴道抗菌作用的论点。']"
open	mlecqa	具有预防胎儿神经管畸形发生的是什么？	具有预防胎儿神经管畸形发生的是叶酸。	具有预防胎儿神经管畸形发生的是硫胺素。	['(2)缺乏和过量：人体缺乏叶酸，可发生巨幼红细胞性贫血、舌炎及胃肠道紊乱；叶酸缺乏与新生儿的神经管畸形（包括无脑儿和脊柱裂）有关。妇女在孕前3个月至孕早期3个月补充叶酸，可有效地预防神经管畸形的发生。此外，叶酸缺乏可引起蛋氨酸代谢障碍，导致高同型半胱氨酸血症(hyperhomocyste inemia)，后者是动脉粥样硬化形成的危险因素。', '(4)多摄入富含叶酸的食物并补充叶酸：妊娠早期叶酸缺乏可增加胎儿发生神经管畸形及早产的危险。妇女应从计划妊娠开始多摄取富含叶酸的动物肝脏、深绿色蔬菜及豆类，并建议每日额外补充叶酸400-800µg。(5)戒烟、禁酒：烟草中的尼古丁和烟雾中的视化物、一氧化碳可导致胎儿缺氧和营养不良、发育迟缓。酒精亦可通过胎盘进入胎儿体内造成胎儿宫内发育不良、中枢神经系统发育异常等。', '颅内脑脊液异常增多可引起脑积水。前神经孔未闭会形成元脑畸形；后神经孔未闭将导致脊髓裂和脊柱裂。叶酸可以预防神经管缺陷。（刘慧雯）', '由于叶酸对于神经管的形成有重要作用，因此孕妇在怀孕前摄入足够的叶酸对于胎儿的正常发育很重要。怀孕期间缺乏叶酸能够影响胎儿神经系统的发育。研究表明在怀孕前期和怀孕中补充足够的叶酸能够降低神经管畸形和唇裂胎儿的出生率。美国全国环境卫生科学研究所的研究人员在新一期《新英格兰医学杂志》上报告说，孕妇补充叶酸可防婴儿唇裂，但对于预防颚裂作用似乎不太明显。', '研究证明在受孕前适当摄取叶酸可减少胎儿神经管道畸形，并且能预防脊柱裂。胎儿的神经管道成长于妊娠首28周，所以解释受孕前摄取叶酸是何等重要。在菠菜与其他绿叶蔬菜都发现大量叶酸，譬如甜菜、花椰菜、芦笋、柑橘类水果和瓜类、鹰嘴豆。在美国与加拿大，很多小麦产品都已经加入了叶酸。外观方面，缺乏维生素B会导致在前额面脸颊等皮肤各处的色素沉淀，形成了「怀孕面具」或者黄褐斑，于是变得很容易检测。', '营养失调及缺乏皆可能会导致神经发育障碍，例如脊柱裂与罕见的无脑畸形，两者都为神经管出现缺陷，其神经系统及支持结构出现畸形及功能障碍，造成严重的身体残疾及情绪后遗症。神经管缺陷最常见的营养问题是母亲缺乏叶酸—通常可以从水果、蔬菜、全谷物及乳制品中摄取的维生素B。神经管缺陷的原因还有药物及环境因素，其中若干会影响叶酸代谢，因此神经管缺陷被视为多重因素所致。']
tf	mlecqa	生殖器疱疹潜伏期为2～7天吗？	生殖器疱疹潜伏期为2～7天。	生殖器疱疹潜伏期不为2～7天。	['潜伏期为1~7天，一般为2~3天。', '2.流行病学特点该病潜伏期为2~6天，接触传染潜伏期4~6天，喂感染的猪肉产品，则潜伏期为2天。处千潜伏期的猪，其皮肤和肌肉中病毒量较高。与病猪接触的猪24小时病毒即出现千鼻黏膜，之后出现千直肠和咽腔，第4天处于病毒血症状态，第5天出现初期水泡，经2~3天则破溃。大量排毒源是水泡液和水泡皮，其次是通过粪便和分泌物排毒。由于有病毒血症过程，所以所有组织均可成为传染源。', '生殖器疱疹，又称阴部疱疹或疱疹二型，可由单纯疱疹病毒第一型及第二型传染，但主要由“单纯疱疹二型病毒”引起，通常是与患者性交时传染得来的性病，潜伏期约五至六天。']
tf	mlecqa	新生儿期筛查苯丙酮尿症实验室检测方法是血苯丙氨酸浓度测定吗？	新生儿期筛查苯丙酮尿症实验室检测方法为血苯丙氨酸浓度测定。	新生儿期筛查苯丙酮尿症实验室检测方法不为血苯丙氨酸浓度测定。	['典型苯丙酮尿症患儿肝细胞缺乏苯丙氨酸狻化酶(phenylalanine hydroxylase, PAH)，不能将苯丙氨酸经化为酪氨酸而转变为苯丙酮酸和苯乙酸在体内沉积。非典型苯丙酮尿症是由千辅助因子四氢生物蝶呤生成减少，苯丙氨酸不能被经化为酪氨酸。两型苯丙酮尿症均出现多巴胺、5异胫色胺和Y－氨基丁酸等重要神经递质缺乏，引起神经系统功能损害。', '已发现了一系列导致高苯丙氨酸血症的基因突变，因而可以进行有效的基因诊断和产前诊断。目前临床上常在婴儿出生后立即进行筛查，一经确诊为典型的苯丙酮尿症，立即给患儿停乳，喂给低苯丙氨酸水解蛋白及补充酪氨酸。若确诊为非典型的苯丙酮尿症，补充四氢生物蝶呤、L－多巴，5－胫色胺，卡比多巴等。禁荎食、乳类、豆类和豆制品。多吃蔬菜和水果。经上述饮食治疗可以达到临床痊愈。', '当基因缺陷影响苯丙氨酸羟化酶使得人体代谢苯丙氨酸的能力下降，会导致从食物中摄取的苯丙氨酸在体内堆积，浓度过高产生毒性，影响神经系统，称为苯丙酮尿症。患者需终身调整饮食减少苯丙氨酸的摄入。']
open	mlecqa	胎儿先露部的指示点与母体骨盆左右前后的关系称为什么？	胎儿先露部的指示点与母体骨盆左右前后的关系称为胎方位。	胎儿先露部的指示点与母体骨盆左右前后的关系称为胎产式。	['4.胎方位(fetal position)指胎儿先露部的指示点与母体骨盆的关系。枕先露以枕骨、面先露以颊骨、臀先露以低骨、肩先露以肩脾骨为指示点。每个指示点与母体骨盆入口左、右、前、后、横的不同位置构成不同胎位。头先露、臀先露各有6种胎方位，肩先露有4种胎方位。如枕先露时，胎头枕吓L骨位于母体骨盆的左前方，应为枕左前位，余类推（表5-2)。', '·枕先露以枕骨、面先露以颉骨、臀先露以骰骨、肩先露以肩肿骨为指示点，每个指示点与母体骨盆入口的不同位置构成不同胎位。', '胎先露部为肩，称为肩先露(shoulder presentati on)。为对母儿最不利的胎位。此时胎体横卧于骨盆入口之上，胎体纵轴与母体纵轴相垂直。占妊娠足月分挽总数的0.25%。以肩肿骨为指示点，有肩左前肩左后肩右前、肩右后4种胎方位。除死胎及早产儿胎体可折叠挽出外，足月活胎不可能经阴道挽出。若不及时处理，容易造成子宫破裂．威胁母儿生命。']
open	mlecqa	女，30岁，孕2产1，1年前因中央型前置胎盘行子宫体部剖宫产，现妊娠7个月。6h前突感剧烈腹痛，头晕，大汗淋漓，胎动停止，胎心音消失，胎体漂浮感，左下腹可扪及妊娠4个月子宫大小硬块，移动性浊音（+）。最可能的诊断是什么？	最可能的诊断是子宫破裂。	最可能的诊断是先兆子宫破裂。	['(2)完全性子宫破裂：子宫肌壁全层破裂，宫腔与腹腔相通，称为完全性子宫破裂。常发生于瞬间，产妇突感下腹一阵撕裂样剧痛，子宫收缩骤然停止。腹痛稍缓和后，因羊水、血液进入腹腔刺激腹膜，出现全腹持续性疼痛，并伴有低血容量休克的征象。全腹压痛明显、有反跳痛，腹壁下可清楚打］及胎体，子宫位千侧方，胎心胎动消失。阴道检查可有鲜血流出，胎先露部升高，开大的宫颈口缩小，若破口位置较低，部分产妇可抇及子宫下段裂口。上述表现可能继发千先兆子宫破裂的症状之后，但子宫体部瘢痕破裂多为完全性子宫破裂，常无先兆破裂的典型症状。穿透性胎盘植入者发生子宫破裂时，可表现为待续性腹痛，多伴有胎心率异常，易误诊为其他急腹症或先兆临产。', '子宫破裂(rupture of u terus)指在妊娠晚期或分挽期子宫体部或子宫下段发生破裂，是直接危及产妇及胎儿生命的严重并发症。［病因］1.子宫手术史（瘢痕子宫）是近年来导致子宫破裂的常见原因，如剖宫产术、子宫肌瘤剔除术、宫角切除术、子宫成形术后形成瘢痕，在妊娠晚期或分挽期由于宫腔内压力增高可使瘢痕破裂。前次手术后伴感染、切口愈合不良、剖宫产后间隔时间过短而再次妊娠者，临产后发生子宫破裂的风险更高。', '曾使用剖腹产的孕妇，后续妊娠及生产不顺利的可能性会增加。因此，除非有医学原因，不然不建议有后续生育意愿的女性主动选择剖腹产。例如，剖腹产可能造成胎盘植入的几率上升。研究表明，两次剖腹产后，胎盘植入的几率为0.13%，四次剖腹产后，几率为2.13%，六次后则为6.74%。多次剖腹产后，分娩时需紧急切除子宫的风险也增大。另外，曾使用剖宫产子的孕妇，第二胎出现产前出血、前置胎盘、子宫破裂、早产等问题的机会较大。', '双侧子宫均有受孕机会，但受孕常反复发生在同一侧子宫内，偶有双侧子宫异期受孕，两胎儿相差数天，发生率为百万分之一。因供血不足，孕早期易流产，孕可因体晚期易发生妊娠高血压综合征。胎儿宫内发育迟缓、臀位。孕中期妊娠位改变发生子宫扭转，而至胎盘早剥，子宫破裂。']
open	mlecqa	输卵管壶腹部妊娠其多见的结果为什么？	输卵管壶腹部妊娠其多见的结果为输卵管妊娠流产。	输卵管壶腹部妊娠其多见的结果为输卵管妊娠中最危险的一种。	['(I)宫外孕（又称异位妊娠）是指受精卯在子宫腔以外着床发育。异位妊娠包括输卵管妊娠、腹腔妊娠和卯巢妊娠。前者最为多见，多发生在壶腹部，其次是峡部。异位妊娠有两种结果：一是流产；二是输卵管破裂，继发大出血。', '(2)输卵管妊娠流产(tubal abortion)：多见于妊娠8~12周的输卵管壶腹部或伞端妊娠。受精卵种植在输卵管黏膜皱襞内，由于蜕膜形成不完整，发育中的胚泡常向管腔突出，最终突破包膜而出血。胚泡与管壁分离，若整个胚泡剥离落入管腔，刺激输卵管逆蠕动经伞端排出到腹腔，形成输卵管妊娠完全流产，出血一般不多（图8-3)。若胚泡剥离不完整，妊娠产物部分排出到腹腔，部分尚附着于输卵管壁，形成输卯管妊娠不全流产，滋养细胞继续侵蚀输卵管壁，导致反复出血。出血的量和持续时间与残存在输卵管壁上的滋养细胞多少有关。如果伞端堵塞血液不能流入盆腔，积聚在输卵管内，形成输卵管血肿或输卵管周围血肿。如果血液不断流出并积聚在直肠子宫陷窝，造成盆腔积血和血肿，量多时甚至流入腹腔。', '受精卵在子宫体腔以外着床称为异位妊娠(ectopic pregnancy)习惯称宫外孕(extrau terin e pregnancy)。异位妊娠以输卵管妊娠为最常见（占95%），少见的还有卵巢妊娠、腹腔妊娠、宫颈妊娠、阔韧带妊娠（图8-1)。此外，剖宫产瘢痕部位妊娠近年在国内明显增多；子宫残角妊娠因其临床表现与异位妊(D输卵管壶腹部妊娠；＠输卵管峡部妊娠；＠输卵管伞部妊娠；`娠类似，故也附于本章内简述。＠输卵管间质部妊娠；＠腹腔妊娠；＠阔韧带妊娠；＠卵巢妊娠；＠宫颈妊娠异位妊娠是妇产科常见的急腹症，发病图8-1异位妊娠的发生部位率2%～3%，是早期妊娠孕妇死亡的主要原因。近年来，由于异位妊娠得到更早的诊断和处理，患者的存活率和生育保留能力明显提高。']
open	mlecqa	患者，37岁，闭经，伴有潮热、出汗。查体：子宫、附件无异常所见。曾做雌激素试验（+）。该患者的诊断首先考虑为什么？	该患者的诊断首先考虑为卵巢功能早衰。	该患者的诊断首先考虑为下丘脑性闭经。	['(1)卵巢早衰(premature ovarian failure, POF):40岁前，由于卵巢内卵泡耗竭或医源性损伤(iatrogenic causes)发生卵巢功能衰竭，称为卵巢早衰。病因可因遗传因素、自身免疫性疾病、医源性损伤（放疗、化疗对性腺的破坏或手术所致的卵巢血供受影响）或特发性原因引起。以低雌激素及高促性腺激素为特征，表现为继发性闭经，常伴围绝经期症状。激素特征为高促性腺激素，特别是FSH升高，FSH>40U/L,伴雌激素水平下降。早发性卵巢功能不全(premature ovarian insufficiency, POI)是指女性在40岁以前出现卵巢功能减退，主要表现为月经异常（闭经、月经稀发或频发）、促性腺激素升高(FSH>25IU/L)、雌激素缺乏。POF是POI的终末阶段（详见本章第八节“早发性卵巢功能不全”)。', '如on病与POI的关系最为密切。不良环境、不良生活方式及嗜好也可能影响卵巢功能。［临床表现】1.症状(1)月经改变：从卵巢储备功能减退至功能衰竭，患者经历数年不等的过渡期，可先后出现月经频发或稀发、经量减少、闭经。(2)雌激素水平低下表现：原发性闭经患者表现为女性第二性征不发育或发育差。继发性闭经患者可有潮热出汗、生殖道干涩灼热感、性欲减退、骨质疏松、情绪和认知功能改变、心血管症状等。(3)不孕、不育：生育力显著下降；在卵巢储备减退的初期，由于偶发排卵，仍有5％左右的自然妊娠可能，但自然流产和胎儿染色体异常的风险增加。', '早衰症的诊断是根据患者的症状，例如肤质改变、发育异常以及掉发。此诊断可以借由遗传检验确认。', '2.女子乳房下垂、子宫发育不良（幼稚子宫），卵巢早衰闭经、月经不调，性欲减退，不孕等；']
open	mlecqa	经产妇，62岁。绝经11年，阴道反复流血4个月就诊。查体：肥胖，一般情况好，血压20.0/14.0kPa（150/105mmHg）。妇科检查：阴道少许血液，宫颈光滑，子宫正常大，双附件正常。最可能的诊断是什么？	最可能的诊断是子宫内膜癌。	最可能的诊断是子宫颈癌。	['1.病史及临床表现对于绝经后阴道流血、绝经过渡期月经紊乱，均应排除子宫内膜癌后再按良性疾病处理。对有以下情况的异常阴道流血妇女要警惕子宫内膜癌：心有子宫内膜癌发病高危因素如肥胖、不育、绝经延迟者；＠有长期应用雌激素、他莫昔芬或雌激素增高疾病史者；＠有乳腺癌、子宫内膜癌家族史者。', '预防措施：心重视绝经后妇女阴道流血和绝经过渡期妇女月经紊乱的诊治；＠正确掌握雌激素应用指征及方法；＠对有高危因素的入群，如肥胖、不育、绝经延迟、长期应用雌激素及他莫昔芬等，应密切随访或监测；＠加强对林奇综合征妇女的监测，有建议可在30~35岁后开展每年一次的妇科检查、经阴道超声和内膜活检，甚至建议在完成生育后可预防性切除子宫和双侧附件。', '(8)经前或经后点滴出血：月经来潮前数日或来潮后数日，持续极少量阴道褐红色分泌物，可见于排卵性异常子宫出血或为放置宫内节育器的副作用。此外，子宫内膜异位症亦可能出现类似情况。(9)绝经多年后阴道流血：若流血量极少，历时2~3日即净，多为绝经后子宫内膜脱落引起的出血或萎缩性阴道炎；若流血量较多、流血持续不净或反复阴道流血，应考虑子宫内膜癌可能。(10)间歇性阴道排出血性液体：应警惕有输卵管癌的可能。(11)外伤后阴道流血：常见千骑跨伤后，流血量可多可少。除上述各种不同形式的阴道流血外，年龄对诊断有重要参考价值。新生女婴出生后数日有少量阴道流血，系因离开母体后雌激素水平骤然下降，子宫内膜脱落所致。幼女出现阴道流血，应考虑有性早熟或生殖道恶性肿瘤的可能。青春期少女出现阴道流血，多为无排卵性异常子宫出血。生育期妇女出现阴道流血，应考虑与妊娠相关的疾病。围绝经期妇女出现阴道流血，以无排卯性异常子宫出血最多见，但应首先排除生殖道恶性肿瘤。']
tf	mlecqa	最常见的卵巢肿瘤是浆液性囊腺瘤吗？	最常见的卵巢肿瘤是浆液性囊腺瘤。	最常见的卵巢肿瘤不是浆液性囊腺瘤。	['浆液性损腺瘤(serious cystadenoma)是卵巢最常见的肿瘤，其中浆液性癌占全部卵巢癌的1/3。良性和交界性肿瘤多发于30~40岁的女性，而恶性患者则年龄偏大。', '图14-15卵巢浆液性嘉腺瘤图14-16卵巢浆液性癌肿瘤呈乳头状生长，表面被覆单层立方上皮，形瘤细胞层次增多，异型性明显，向卯巢间质浸润，态一致，无异型性并可见砂粒体黏液性肿瘤(muci n ous tumors)较浆液性肿瘤少见，占所有卵巢肿瘤的25%。其中80％是良性，交界性和恶性各占10%。发病年龄与浆液性肿瘤相同。', '卵巢浆液性囊腺瘤，有时候称之为浆液性囊腺瘤，是一类非常常见的良性卵巢肿瘤。', '乳头状浆液性囊腺癌、乳突浆液性囊腺癌，是一类常见的恶性卵巢癌，占美国20岁以上女性卵巢肿瘤患者的26%。']
